"id","title","category","difficulty","type","rating","upvotes","free","verified","link","description"
"1","The Odin Project","Web Development","Beginner to Advanced","Course","4.9","2847","True","True","https://www.theodinproject.com/","A free, open-source curriculum for learning full-stack web development. Covers HTML, CSS, JavaScript, Node.js, Ruby on Rails, and React with hands-on projects."
"2","freeCodeCamp - Responsive Web Design","Web Development","Beginner","Course","4.8","5120","True","True","https://www.freecodecamp.org/learn/2022/responsive-web-design/","Master HTML and CSS by building 5 certification projects including a survey form, tribute page, landing page, technical doc, and personal portfolio."
"3","MDN Web Docs - JavaScript Guide","Web Development","Intermediate","Documentation","4.7","3890","True","True","https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide","Mozilla's comprehensive, authoritative guide to JavaScript from basics to advanced concepts like closures, promises, async/await, and modules."
"4","CS50's Web Programming with Python and JavaScript","Web Development","Intermediate","Course","4.9","4210","True","True","https://cs50.harvard.edu/web/2020/","Harvard's free course covering Flask, Django, SQL, APIs, JavaScript frontends, React, and CI/CD. Includes 6 hands-on projects."
"5","Fireship - React in 100 Seconds","Web Development","Beginner","Video","4.6","1850","True","True","https://www.youtube.com/watch?v=Tn6-PIqc4UM","Concise, high-quality YouTube video explaining the fundamentals of React.js including components, JSX, state, and hooks."
"6","CSS-Tricks - A Complete Guide to Flexbox","Web Development","Beginner","Article","4.5","2340","True","True","https://css-tricks.com/snippets/css/a-guide-to-flexbox/","Everything you need to know about CSS Flexbox with visual examples, diagrams, and a flexbox playground cheat sheet."
"7","Coursera - Machine Learning by Andrew Ng","AI & Machine Learning","Intermediate","Course","4.9","12500","True","True","https://www.coursera.org/learn/machine-learning","Stanford's legendary ML course covering supervised learning, unsupervised learning, linear regression, neural networks, and SVMs with MATLAB/Octave exercises."
"8","fast.ai - Practical Deep Learning for Coders","AI & Machine Learning","Intermediate","Course","4.8","5670","True","True","https://course.fast.ai/","Top-down approach to deep learning using PyTorch. Build state-of-the-art models for computer vision, NLP, and tabular data from lesson 1."
"9","3Blue1Brown - Neural Networks Series","AI & Machine Learning","Beginner","Video Series","4.9","8900","True","True","https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi","Visually stunning YouTube series explaining what neural networks are, how they learn (gradient descent, backprop), with beautiful animated explanations."
"10","Hugging Face - NLP Course","AI & Machine Learning","Advanced","Course","4.7","3420","True","True","https://huggingface.co/learn/nlp-course/","Free hands-on course on modern NLP using transformers, Hugging Face libraries, tokenizers, and building production-ready LLM applications."
"11","OpenAI - Prompt Engineering for Developers","AI & Machine Learning","Intermediate","Course","4.6","4100","True","True","https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/","Learn best practices for prompting LLMs, building custom chatbots, and developing AI-powered applications with the OpenAI API."
"12","Towards Data Science - Understanding LSTMs","AI & Machine Learning","Advanced","Article","4.4","1580","True","True","https://towardsdatascience.com/understanding-lstm-and-its-quick-implementation-in-keras-for-sentiment-analysis-af410fd85b47","In-depth article explaining Long Short-Term Memory networks, RNN architectures, and how they solve the vanishing gradient problem."
"13","TryHackMe - Complete Beginner Learning Path","Cybersecurity","Beginner","Course","4.8","6780","True","True","https://tryhackme.com/path/outline/beginner","Guided, gamified cybersecurity path with hands-on labs covering networking basics, Linux, web hacking, cryptography, and real CTF challenges."
"14","MIT OCW - Introduction to Computer Security","Cybersecurity","Advanced","Course","4.9","3200","True","True","https://ocw.mit.edu/courses/6-858-computer-systems-security-fall-2014/","MIT's free graduate-level course covering cryptography, network security, authentication, access control, buffer overflows, and secure software design."
"15","OWASP Top 10 Official Guide","Cybersecurity","Intermediate","Documentation","4.8","5430","True","True","https://owasp.org/Top10/","The definitive guide to the top 10 most critical web application security risks: injection, XSS, CSRF, broken auth, sensitive data exposure, and more."
"16","Network Chuck - Ethical Hacking Full Course","Cybersecurity","Beginner","Video","4.7","4560","True","True","https://www.youtube.com/watch?v=fNzpcB7ODxQ","10-hour YouTube masterclass on ethical hacking: reconnaissance, scanning, enumeration, exploitation, post-exploitation, and report writing with live demos."
